Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
249,Charalampos Kostoulas,gr GRE,"FW,MF",Brighton,18-225,2007,11,1,176,2.0,1,1,2,1,0,0,1,0,1.3,1.3,0.9,2.2,7,7,17,0.51,0.51,1.02,0.51,1.02,0.65,0.46,1.10,0.65,1.10,Matches
250,Mateo Kovačić,hr CRO,MF,Manchester City,31-249,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
251,Emil Krafth,se SWE,DF,Newcastle Utd,31-161,1994,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
252,Ladislav Krejčí,cz CZE,"DF,MF",Wolves,26-265,1999,16,16,1389,15.4,2,1,3,2,0,0,2,0,2.0,2.0,0.8,2.7,10,67,10,0.13,0.06,0.19,0.13,0.19,0.13,0.05,0.18,0.13,0.18,Matches
253,Mohammed Kudus,gh GHA,"FW,MF",Tottenham,25-161,2000,19,19,1535,17.1,2,5,7,2,0,0,3,0,1.9,1.9,2.8,4.7,58,42,134,0.12,0.29,0.41,0.12,0.41,0.11,0.17,0.28,0.11,0.28,Matches
254,Jonah Kusi-Asare,se SWE,FW,Fulham,18-190,2007,4,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches
255,Shea Lacey,eng ENG,"FW,DF",Manchester Utd,18-271,2007,2,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45,Matches
256,Maxence Lacroix,fr FRA,DF,Crystal Palace,25-279,2000,21,21,1890,21.0,0,2,2,0,0,0,3,0,1.0,1.0,1.1,2.2,5,42,8,0.00,0.10,0.10,0.00,0.10,0.05,0.05,0.10,0.05,0.10,Matches
257,Senne Lammens,be BEL,GK,Manchester Utd,23-187,2002,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
258,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,32-060,1993,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
259,Josh Laurent,eng ENG,"DF,MF",Burnley,30-249,1995,18,11,1060,11.8,1,0,1,1,0,0,3,0,0.4,0.4,0.4,0.9,11,23,20,0.08,0.00,0.08,0.08,0.08,0.04,0.04,0.07,0.04,0.07,Matches
260,Roméo Lavia,be BEL,MF,Chelsea,22-004,2004,4,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
261,Enzo Le Fée,fr FRA,"MF,FW",Sunderland,25-341,2000,20,18,1575,17.5,2,4,6,0,2,3,5,0,3.2,0.8,2.6,3.5,32,52,83,0.11,0.23,0.34,0.00,0.23,0.18,0.15,0.33,0.05,0.20,Matches
262,Bernd Leno,de GER,GK,Fulham,33-312,1992,21,21,1890,21.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
263,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,31-077,1994,18,7,760,8.4,0,1,1,0,0,0,4,0,0.6,0.6,0.7,1.3,4,46,7,0.00,0.12,0.12,0.00,0.12,0.07,0.08,0.16,0.07,0.16,Matches
264,Rico Lewis,eng ENG,"DF,MF",Manchester City,21-050,2004,9,2,227,2.5,0,1,1,0,0,0,0,0,0.0,0.0,1.3,1.4,3,24,12,0.00,0.40,0.40,0.00,0.40,0.01,0.53,0.54,0.01,0.54,Matches
265,Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,24-322,2001,19,10,912,10.1,2,1,3,2,0,0,1,0,1.3,1.3,1.2,2.4,20,28,56,0.20,0.10,0.30,0.20,0.30,0.12,0.12,0.24,0.12,0.24,Matches
266,Myles Lewis-Skelly,eng ENG,DF,Arsenal,19-106,2006,14,1,321,3.6,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,5,7,10,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
267,Matthijs de Ligt,nl NED,DF,Manchester Utd,26-151,1999,13,13,1170,13.0,1,0,1,1,0,0,0,0,1.5,1.5,0.6,2.0,3,23,7,0.08,0.00,0.08,0.08,0.08,0.11,0.05,0.16,0.11,0.16,Matches
268,Pedro Lima,br BRA,MF,Wolves,19-193,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
269,Victor Lindelöf,se SWE,DF,Aston Villa,31-177,1994,10,6,569,6.3,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,3,12,0,0.00,0.16,0.16,0.00,0.16,0.00,0.04,0.05,0.00,0.05,Matches
270,Valentino Livramento,eng ENG,DF,Newcastle Utd,23-059,2002,13,11,1049,11.7,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.6,23,53,69,0.00,0.09,0.09,0.00,0.09,0.01,0.04,0.05,0.01,0.05,Matches
271,Sean Longstaff,eng ENG,MF,Leeds United,28-072,1997,12,10,878,9.8,1,2,3,1,0,0,1,0,0.7,0.7,2.1,2.8,3,31,14,0.10,0.21,0.31,0.10,0.31,0.08,0.21,0.29,0.08,0.29,Matches
272,Fer López,es ESP,"MF,FW",Wolves,21-231,2004,9,2,235,2.6,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,8,20,16,0.00,0.38,0.38,0.00,0.38,0.07,0.29,0.35,0.07,0.35,Matches
273,Lucas,br BRA,"DF,MF",Burnley,24-292,2001,7,6,502,5.6,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0.6,12,17,25,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.10,0.05,0.10,Matches
274,Florentino Luís,pt POR,MF,Burnley,26-144,1999,17,15,1314,14.6,0,1,1,0,0,0,3,0,0.5,0.5,0.4,0.8,6,63,9,0.00,0.07,0.07,0.00,0.07,0.03,0.02,0.06,0.03,0.06,Matches
275,Douglas Luiz,br BRA,MF,Nott'ham Forest,27-246,1998,8,5,315,3.5,0,0,0,0,0,0,2,0,0.1,0.1,0.7,0.8,8,16,8,0.00,0.00,0.00,0.00,0.00,0.04,0.19,0.23,0.04,0.23,Matches
276,Saša Lukić,rs SRB,MF,Fulham,29-150,1996,18,14,1145,12.7,1,2,3,1,0,0,5,0,1.8,1.8,1.6,3.4,22,35,44,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.27,0.14,0.27,Matches
277,Ian Maatsen,nl NED,DF,Aston Villa,23-306,2002,15,7,698,7.8,0,0,0,0,0,0,1,0,0.7,0.7,1.5,2.2,14,35,49,0.00,0.00,0.00,0.00,0.00,0.09,0.20,0.29,0.09,0.29,Matches
278,Alexis Mac Allister,ar ARG,MF,Liverpool,27-017,1998,20,17,1389,15.4,0,2,2,0,0,0,3,0,1.7,1.7,1.5,3.3,26,68,43,0.00,0.13,0.13,0.00,0.13,0.11,0.10,0.21,0.11,0.21,Matches
279,Noni Madueke,eng ENG,FW,Arsenal,23-306,2002,12,6,510,5.7,0,0,0,0,0,0,0,0,0.5,0.5,1.4,2.0,35,16,74,0.00,0.00,0.00,0.00,0.00,0.10,0.25,0.35,0.10,0.35,Matches
280,Gabriel Magalhães,br BRA,DF,Arsenal,28-022,1997,15,14,1266,14.1,3,2,5,3,0,0,1,0,1.6,1.6,1.4,3.0,10,58,3,0.21,0.14,0.36,0.21,0.36,0.11,0.10,0.21,0.11,0.21,Matches
281,Soungoutou Magassa,fr FRA,MF,West Ham,22-094,2003,14,9,737,8.2,1,0,1,1,0,0,2,0,0.3,0.3,0.3,0.6,5,19,8,0.12,0.00,0.12,0.12,0.12,0.04,0.03,0.07,0.04,0.07,Matches
282,Harry Maguire,eng ENG,DF,Manchester Utd,32-311,1993,8,4,345,3.8,1,1,2,1,0,0,0,0,0.3,0.3,0.4,0.7,2,15,2,0.26,0.26,0.52,0.26,0.52,0.08,0.09,0.18,0.08,0.18,Matches
283,Kobbie Mainoo,eng ENG,MF,Manchester Utd,20-266,2005,12,0,238,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,13,9,10,0.00,0.00,0.00,0.00,0.00,0.03,0.11,0.14,0.03,0.14,Matches
284,Tyrell Malacia,nl NED,DF,Manchester Utd,26-146,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
285,Donyell Malen,nl NED,FW,Aston Villa,27-001,1999,21,5,656,7.3,4,1,5,4,0,0,0,0,4.0,4.0,0.4,4.5,13,14,35,0.55,0.14,0.69,0.55,0.69,0.56,0.06,0.62,0.56,0.62,Matches
286,Giorgi Mamardashvili,ge GEO,GK,Liverpool,25-103,2000,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
287,Reinildo Mandava,mz MOZ,DF,Sunderland,31-354,1994,12,12,1022,11.4,0,0,0,0,0,0,4,1,0.1,0.1,0.0,0.1,18,41,25,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
288,Mateus Mane,pt POR,MF,Wolves,18-116,2007,10,4,452,5.0,2,1,3,2,0,0,0,0,0.6,0.6,0.2,0.8,13,14,32,0.40,0.20,0.60,0.40,0.60,0.11,0.05,0.16,0.11,0.16,Matches
289,Bendito Mantato,eng ENG,FW,Manchester Utd,17-350,2008,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,Matches
290,Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-337,1999,10,2,211,2.3,0,1,1,0,0,0,0,0,1.2,1.2,1.0,2.2,7,5,20,0.00,0.43,0.43,0.00,0.43,0.52,0.43,0.95,0.52,0.95,Matches
291,Callum Marshall,nir NIR,FW,West Ham,21-043,2004,2,0,60,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches
292,Gabriel Martinelli,br BRA,FW,Arsenal,24-206,2001,16,6,510,5.7,1,0,1,1,0,0,2,0,2.1,2.1,0.3,2.4,21,15,39,0.18,0.00,0.18,0.18,0.18,0.37,0.05,0.42,0.37,0.42,Matches
293,Emiliano Martínez,ar ARG,GK,Aston Villa,33-130,1992,17,17,1485,16.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
294,Lisandro Martínez,ar ARG,DF,Manchester Utd,27-357,1998,9,4,458,5.1,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,8,29,1,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.13,0.01,0.13,Matches
295,Arthur Masuaku,cd COD,"DF,MF",Sunderland,32-064,1993,3,2,126,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,2,5,5,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
296,Pape Matar Sarr,sn SEN,MF,Tottenham,23-118,2002,14,7,709,7.9,2,2,4,2,0,0,0,0,1.0,1.0,0.7,1.7,14,27,25,0.25,0.25,0.51,0.25,0.51,0.13,0.09,0.22,0.13,0.22,Matches
297,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,28-196,1997,21,21,1730,19.2,8,0,8,5,3,3,2,0,11.3,8.9,0.6,9.5,16,24,83,0.42,0.00,0.42,0.26,0.26,0.59,0.03,0.62,0.46,0.50,Matches
298,Konstantinos Mavropanos,gr GRE,DF,West Ham,28-030,1997,14,11,1093,12.1,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.7,7,33,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
299,Eliezer Mayenda,es ESP,FW,Sunderland,20-247,2005,12,5,498,5.5,1,0,1,1,0,0,0,0,0.9,0.9,0.5,1.4,10,8,20,0.18,0.00,0.18,0.18,0.18,0.17,0.09,0.26,0.17,0.26,Matches
300,Ezra Mayers,bb BRB,DF,West Ham,18-359,2007,5,0,116,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,2,11,7,0.00,0.00,0.00,0.00,0.00,0.09,0.19,0.28,0.09,0.28,Matches
301,Noussair Mazraoui,ma MAR,DF,Manchester Utd,28-057,1997,9,6,442,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,9,47,21,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches
302,Bryan Mbeumo,cm CMR,MF,Manchester Utd,26-156,1999,16,16,1403,15.6,6,1,7,6,0,0,3,0,5.5,5.5,3.1,8.7,41,44,145,0.38,0.06,0.45,0.38,0.45,0.36,0.20,0.56,0.36,0.56,Matches
303,James Mcatee,eng ENG,"MF,FW",Nott'ham Forest,23-084,2002,7,1,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,5,10,11,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.19,0.01,0.19,Matches
304,John McGinn,sct SCO,"FW,MF",Aston Villa,31-084,1994,21,20,1574,17.5,3,2,5,3,0,0,3,0,2.6,2.6,2.1,4.6,24,70,67,0.17,0.11,0.29,0.17,0.29,0.15,0.12,0.27,0.15,0.27,Matches
305,Dwight McNeil,eng ENG,"FW,MF",Everton,26-049,1999,12,5,486,5.4,0,1,1,0,0,0,0,0,0.4,0.4,0.8,1.2,5,12,19,0.00,0.19,0.19,0.00,0.19,0.08,0.14,0.22,0.08,0.22,Matches
306,Hannibal Mejbri,tn TUN,MF,Burnley,22-354,2003,14,5,460,5.1,0,1,1,0,0,0,4,0,0.3,0.3,1.1,1.4,13,21,19,0.00,0.20,0.20,0.00,0.20,0.06,0.21,0.27,0.06,0.27,Matches
307,Mikel Merino,es ESP,"MF,FW",Arsenal,29-202,1996,19,10,940,10.4,3,3,6,3,0,0,1,0,2.1,2.1,1.4,3.5,14,38,33,0.29,0.29,0.57,0.29,0.57,0.20,0.14,0.34,0.20,0.34,Matches
308,Antoni Milambo,nl NED,MF,Brentford,20-282,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
309,Nikola Milenković,rs SRB,DF,Nott'ham Forest,28-090,1997,21,21,1890,21.0,0,0,0,0,0,0,4,0,0.8,0.8,0.3,1.1,5,49,4,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
310,Lewis Miley,eng ENG,"MF,DF",Newcastle Utd,19-254,2006,17,10,1022,11.4,1,3,4,1,0,0,0,0,1.2,1.2,1.1,2.3,14,38,24,0.09,0.26,0.35,0.09,0.35,0.10,0.10,0.20,0.10,0.20,Matches
311,James Milner,eng ENG,MF,Brighton,40-006,1986,12,2,307,3.4,1,1,2,0,1,1,2,0,0.8,0.1,0.2,0.3,4,20,6,0.29,0.29,0.59,0.00,0.29,0.25,0.07,0.32,0.02,0.09,Matches
312,Veljko Milosavljević,rs SRB,DF,Bournemouth,18-196,2007,6,4,367,4.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,3,12,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
313,Tyrone Mings,eng ENG,DF,Aston Villa,32-303,1993,7,6,498,5.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,27,3,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
314,Yankuba Minteh,gm GAM,FW,Brighton,21-172,2004,19,18,1541,17.1,1,4,5,1,0,0,0,0,2.7,2.7,4.5,7.2,82,25,174,0.06,0.23,0.29,0.06,0.29,0.16,0.26,0.42,0.16,0.42,Matches
315,Tyrick Mitchell,eng ENG,DF,Crystal Palace,26-131,1999,21,21,1883,20.9,1,0,1,1,0,0,4,0,0.7,0.7,1.4,2.1,39,33,128,0.05,0.00,0.05,0.05,0.05,0.03,0.07,0.10,0.03,0.10,Matches
316,Kaoru Mitoma,jp JPN,FW,Brighton,28-235,1997,11,8,747,8.3,2,1,3,2,0,0,2,0,1.3,1.3,2.1,3.4,29,21,77,0.24,0.12,0.36,0.24,0.36,0.16,0.25,0.41,0.16,0.41,Matches
317,Morato,br BRA,DF,Nott'ham Forest,24-194,2001,10,8,710,7.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,3,32,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
318,Cristhian Mosquera,es ESP,DF,Arsenal,21-197,2004,10,4,433,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,8,15,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
319,Yerson Mosquera,co COL,DF,Wolves,24-253,2001,12,10,866,9.6,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1.0,5,12,7,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Matches
320,Mason Mount,eng ENG,MF,Manchester Utd,27-000,1999,16,10,815,9.1,3,0,3,3,0,0,0,0,1.5,1.5,1.1,2.6,14,51,48,0.33,0.00,0.33,0.33,0.33,0.16,0.12,0.28,0.16,0.28,Matches
321,Divine Mukasa,eng ENG,MF,Manchester City,18-141,2007,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.62,0.00,0.62,Matches
322,Nordi Mukiele,fr FRA,DF,Sunderland,28-070,1997,19,19,1710,19.0,1,1,2,1,0,0,3,0,0.7,0.7,1.1,1.8,12,56,50,0.05,0.05,0.11,0.05,0.11,0.04,0.06,0.09,0.04,0.09,Matches
323,Romaine Mundle,eng ENG,"FW,MF",Sunderland,22-261,2003,8,0,178,2.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,8,4,15,0.00,0.00,0.00,0.00,0.00,0.22,0.01,0.23,0.22,0.23,Matches
324,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,29-202,1996,13,9,875,9.7,1,1,2,1,0,0,2,0,1.6,1.6,0.5,2.1,11,18,37,0.10,0.10,0.21,0.10,0.21,0.17,0.05,0.22,0.17,0.22,Matches
325,Rodrigo Muniz,br BRA,FW,Fulham,24-251,2001,7,4,352,3.9,1,1,2,1,0,0,1,0,1.0,1.0,0.3,1.3,0,2,11,0.26,0.26,0.51,0.26,0.51,0.26,0.07,0.33,0.26,0.33,Matches
326,Daniel Muñoz,co COL,"DF,MF",Crystal Palace,29-229,1996,14,14,1259,14.0,3,2,5,3,0,0,4,0,1.8,1.8,2.5,4.3,21,29,75,0.21,0.14,0.36,0.21,0.36,0.13,0.18,0.31,0.13,0.31,Matches
327,Murillo,br BRA,DF,Nott'ham Forest,23-190,2002,15,15,1279,14.2,1,0,1,1,0,0,3,0,0.5,0.5,0.2,0.7,5,61,2,0.07,0.00,0.07,0.07,0.07,0.03,0.02,0.05,0.03,0.05,Matches
328,Jacob Murphy,eng ENG,FW,Newcastle Utd,30-320,1995,18,12,1010,11.2,2,1,3,2,0,0,0,0,2.8,2.8,3.5,6.3,30,36,128,0.18,0.09,0.27,0.18,0.27,0.25,0.31,0.56,0.25,0.56,Matches
329,Vitaliy Mykolenko,ua UKR,DF,Everton,26-226,1999,18,18,1615,17.9,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.8,25,84,61,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches
330,David Møller Wolfe,no NOR,"DF,MF",Wolves,23-262,2002,14,8,707,7.9,0,2,2,0,0,0,1,0,0.1,0.1,1.6,1.8,14,18,36,0.00,0.25,0.25,0.00,0.25,0.02,0.21,0.22,0.02,0.22,Matches
331,Iliman Ndiaye,sn SEN,FW,Everton,25-310,2000,16,16,1341,14.9,4,2,6,3,1,1,2,0,3.2,2.4,2.6,5.0,53,26,97,0.27,0.13,0.40,0.20,0.34,0.21,0.18,0.39,0.16,0.34,Matches
332,Dan Ndoye,ch SUI,FW,Nott'ham Forest,25-077,2000,15,14,996,11.1,1,1,2,1,0,0,1,0,0.8,0.8,1.0,1.8,42,25,95,0.09,0.09,0.18,0.09,0.18,0.07,0.09,0.16,0.07,0.16,Matches
333,Dan Neil,eng ENG,MF,Sunderland,24-028,2001,3,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
334,Reiss Nelson,eng ENG,FW,Brentford,26-031,1999,6,0,55,0.6,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,2,5,6,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,Matches
335,Pedro Neto,pt POR,FW,Chelsea,25-307,2000,21,19,1639,18.2,5,3,8,5,0,0,2,0,3.6,3.6,4.0,7.6,86,55,160,0.27,0.16,0.44,0.27,0.44,0.20,0.22,0.42,0.20,0.42,Matches
336,Rio Ngumoha,eng ENG,"FW,MF",Liverpool,17-134,2008,6,0,53,0.6,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.5,7,1,21,1.70,0.00,1.70,1.70,1.70,0.60,0.30,0.91,0.60,0.91,Matches
337,Eddie Nketiah,eng ENG,"MF,FW",Crystal Palace,26-225,1999,12,2,424,4.7,2,0,2,2,0,0,2,0,1.9,1.9,0.9,2.9,16,9,24,0.42,0.00,0.42,0.42,0.42,0.41,0.20,0.61,0.41,0.61,Matches
338,Lukas Nmecha,de GER,FW,Leeds United,27-027,1998,18,6,603,6.7,4,0,4,3,1,2,0,0,4.4,2.7,0.2,2.9,8,7,36,0.60,0.00,0.60,0.45,0.45,0.65,0.03,0.68,0.40,0.43,Matches
339,Matheus Nunes,pt POR,DF,Manchester City,27-136,1998,19,17,1576,17.5,1,3,4,1,0,0,3,0,0.3,0.3,0.8,1.1,38,93,84,0.06,0.17,0.23,0.06,0.23,0.01,0.05,0.06,0.01,0.06,Matches
340,Ethan Nwaneri,eng ENG,MF,Arsenal,18-295,2007,6,0,171,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,7,14,6,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,Matches
341,Trey Nyoni,eng ENG,FW,Liverpool,18-194,2007,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,1.41,1.41,0.00,1.41,Matches
342,Christian Nørgaard,dk DEN,MF,Arsenal,31-306,1994,3,0,33,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
343,Jake O'Brien,ie IRL,DF,Everton,24-240,2001,21,19,1760,19.6,0,1,1,0,0,0,1,0,0.6,0.6,0.3,0.9,12,47,38,0.00,0.05,0.05,0.00,0.05,0.03,0.01,0.05,0.03,0.05,Matches
344,Luke O'Nien,eng ENG,"DF,MF",Sunderland,31-050,1994,3,0,11,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
345,Matt O'Riley,dk DEN,MF,Brighton,25-050,2000,2,2,177,2.0,1,0,1,0,1,1,0,0,1.2,0.4,0.2,0.6,0,5,11,0.51,0.00,0.51,0.00,0.00,0.61,0.10,0.72,0.21,0.32,Matches
346,Wilson Odobert,fr FRA,"FW,MF",Tottenham,21-043,2004,19,6,718,8.0,0,1,1,0,0,0,0,0,1.0,1.0,1.3,2.3,31,29,56,0.00,0.13,0.13,0.00,0.13,0.13,0.16,0.29,0.13,0.29,Matches
347,Noah Okafor,ch SUI,"FW,MF",Leeds United,25-231,2000,18,13,1036,11.5,2,0,2,2,0,0,2,0,2.7,2.7,1.0,3.7,38,28,86,0.17,0.00,0.17,0.17,0.17,0.24,0.09,0.32,0.24,0.32,Matches
348,Amadou Onana,be BEL,MF,Aston Villa,24-147,2001,14,11,888,9.9,2,0,2,2,0,0,2,0,0.4,0.4,0.1,0.6,11,40,4,0.20,0.00,0.20,0.20,0.20,0.04,0.01,0.06,0.04,0.06,Matches
349,Frank Onyeka,ng NGA,MF,Brentford,28-009,1998,6,0,92,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,2,4,2,0.00,0.98,0.98,0.00,0.98,0.00,0.12,0.12,0.00,0.12,Matches
350,Nehemiah Oriola,eng ENG,MF,Brighton,18-213,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
351,William Osula,dk DEN,FW,Newcastle Utd,22-159,2003,10,1,219,2.4,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,4,2,12,0.41,0.00,0.41,0.41,0.41,0.27,0.03,0.30,0.27,0.30,Matches
352,Dango Ouattara,bf BFA,FW,Brentford,23-333,2002,15,12,1062,11.8,3,0,3,3,0,0,3,0,3.5,3.5,1.1,4.6,28,18,80,0.25,0.00,0.25,0.25,0.25,0.29,0.09,0.39,0.29,0.39,Matches
353,Nico O’Reilly,eng ENG,DF,Manchester City,20-295,2005,20,16,1479,16.4,1,3,4,1,0,0,3,0,2.1,2.1,2.6,4.7,47,37,92,0.06,0.18,0.24,0.06,0.24,0.13,0.16,0.28,0.13,0.28,Matches
354,Pablo,br BRA,MF,West Ham,22-008,2004,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.12,0.10,0.21,0.12,0.21,Matches
355,João Palhinha,pt POR,MF,Tottenham,30-185,1995,20,14,1304,14.5,3,2,5,3,0,0,5,0,1.0,1.0,0.3,1.3,9,49,14,0.21,0.14,0.35,0.21,0.35,0.07,0.02,0.09,0.07,0.09,Matches
356,Cole Palmer,eng ENG,"MF,FW",Chelsea,23-249,2002,11,9,664,7.4,3,0,3,2,1,1,1,0,2.7,1.9,0.2,2.2,27,41,39,0.41,0.00,0.41,0.27,0.27,0.37,0.03,0.40,0.26,0.29,Matches
357,Lucas Paquetá,br BRA,"MF,FW",West Ham,28-136,1997,18,18,1511,16.8,4,1,5,2,2,2,7,1,2.8,1.3,2.3,3.6,10,95,59,0.24,0.06,0.30,0.12,0.18,0.17,0.14,0.31,0.07,0.21,Matches
