Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
186,Ayden Heaven,eng ENG,DF,Manchester Utd,19-110,2006,10,8,637,7.1,0,1,1,0,0,0,1,0,0.3,0.3,0.4,0.7,4,18,3,0.00,0.14,0.14,0.00,0.14,0.05,0.05,0.10,0.05,0.10,Matches
187,Jan Paul van Hecke,nl NED,DF,Brighton,25-216,2000,20,20,1800,20.0,3,1,4,3,0,0,5,0,1.7,1.7,0.2,1.9,50,131,5,0.15,0.05,0.20,0.15,0.20,0.08,0.01,0.10,0.08,0.10,Matches
188,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,29-349,1996,16,11,882,9.8,2,1,3,1,1,1,3,0,2.1,1.3,0.8,2.1,18,23,51,0.20,0.10,0.31,0.10,0.20,0.22,0.08,0.30,0.14,0.22,Matches
189,George Hemmings,eng ENG,MF,Aston Villa,18-312,2007,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
190,Dean Henderson,eng ENG,GK,Crystal Palace,28-304,1997,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
191,Jordan Henderson,eng ENG,MF,Brentford,35-207,1990,20,15,1354,15.0,1,3,4,1,0,0,4,0,0.3,0.3,1.9,2.2,6,82,20,0.07,0.20,0.27,0.07,0.27,0.02,0.13,0.15,0.02,0.15,Matches
192,Rico Henry,jm JAM,DF,Brentford,28-186,1997,17,6,719,8.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,18,20,33,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
193,Mads Hermansen,dk DEN,GK,West Ham,25-183,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
194,Aaron Hickey,sct SCO,DF,Brentford,23-214,2002,13,6,514,5.7,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,3,14,11,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
195,James Hill,eng ENG,DF,Bournemouth,24-000,2002,12,5,576,6.4,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,21,8,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
196,Piero Hincapié,ec ECU,DF,Arsenal,24-001,2002,12,10,891,9.9,0,0,0,0,0,0,2,0,0.0,0.0,0.7,0.7,9,26,16,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
197,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,20-274,2005,12,6,595,6.6,1,1,2,1,0,0,0,0,0.4,0.4,0.2,0.7,10,24,7,0.15,0.15,0.30,0.15,0.30,0.07,0.03,0.10,0.07,0.10,Matches
198,Ki-Jana Hoever,nl NED,"DF,MF",Wolves,23-357,2002,8,6,425,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,9,13,23,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
199,Callum Hudson-Odoi,eng ENG,FW,Nott'ham Forest,25-064,2000,19,11,1120,12.4,3,1,4,3,0,0,0,0,1.8,1.8,2.2,4.0,63,41,139,0.24,0.08,0.32,0.24,0.32,0.15,0.18,0.32,0.15,0.32,Matches
200,Will Hughes,eng ENG,MF,Crystal Palace,30-268,1995,18,10,874,9.7,0,0,0,0,0,0,4,0,0.7,0.7,0.9,1.6,5,44,14,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,Matches
